** File generated by WinEP - 5/24/2016 (8:49p) **

Station 	Lat_Veh 
0.000000	1.600000
0.833240	1.600062
1.666254	1.600244
2.499019	1.600535
3.331538	1.600924
4.163817	1.601405
4.995865	1.601978
5.827710	1.602639
6.659383	1.603378
7.490942	1.604192
8.322482	1.605080
9.154099	1.606038
9.985847	1.607067
10.817731	1.608164
11.649734	1.609330
12.481824	1.610558
13.313960	1.611848
14.146110	1.613197
14.978257	1.614603
15.810401	1.616065
16.642550	1.617581
17.474716	1.619151
18.306915	1.620771
19.139154	1.622439
19.971434	1.624152
20.803753	1.625907
21.636103	1.627702
22.468479	1.629535
23.300875	1.631404
24.133287	1.633305
24.965719	1.635237
25.798170	1.637196
26.630642	1.639180
27.463135	1.641187
28.295650	1.643214
29.128189	1.645259
29.960751	1.647318
30.793333	1.649390
31.625935	1.651472
32.458553	1.653562
33.291191	1.655657
34.123844	1.657755
34.956516	1.659855
35.789204	1.661954
36.621906	1.664050
37.454628	1.666141
38.287361	1.668226
39.120113	1.670301
39.952881	1.672367
40.785664	1.674420
41.618462	1.676459
42.451271	1.678482
43.284092	1.680488
44.116928	1.682476
44.949780	1.684442
45.782642	1.686387
46.615517	1.688308
47.448402	1.690205
48.281300	1.692075
49.114208	1.693918
49.947128	1.695732
50.780060	1.697517
51.613003	1.699270
52.445953	1.700992
53.278915	1.702681
54.111889	1.704336
54.944870	1.705956
55.777859	1.707540
56.610859	1.709089
57.443867	1.710600
58.276882	1.712074
59.109909	1.713510
59.942940	1.714907
60.775982	1.716264
61.609028	1.717582
62.442085	1.718861
63.275150	1.720099
64.108215	1.721296
64.941299	1.722454
65.774384	1.723570
66.607468	1.724646
67.440567	1.725681
68.273674	1.726675
69.106781	1.727628
69.939896	1.728541
70.773018	1.729414
71.606140	1.730246
72.439270	1.731038
73.272408	1.731790
74.105553	1.732503
74.938698	1.733177
75.771851	1.733812
76.605011	1.734409
77.438171	1.734967
78.271339	1.735489
79.104507	1.735973
79.937683	1.736421
80.770859	1.736832
81.604042	1.737209
82.437233	1.737550
83.270424	1.737857
84.103615	1.738130
84.936813	1.738370
85.770012	1.738578
86.603218	1.738754
87.436424	1.738898
88.269638	1.739012
89.102852	1.739096
89.936073	1.739150
90.769295	1.739176
91.602516	1.739175
92.435745	1.739146
93.268974	1.739091
94.102203	1.739010
94.935440	1.738905
95.768677	1.738776
96.601921	1.738623
97.435158	1.738448
98.268410	1.738251
99.101654	1.738033
99.934906	1.737795
100.768158	1.737537
101.601410	1.737261
102.434662	1.736967
103.267921	1.736656
104.101181	1.736329
104.934448	1.735986
105.767708	1.735629
106.600975	1.735258
107.434242	1.734874
108.267509	1.734477
109.100784	1.734069
109.934059	1.733650
110.767326	1.733221
111.600609	1.732782
112.433884	1.732335
113.267159	1.731880
114.100441	1.731418
114.933723	1.730949
115.767006	1.730474
116.600288	1.729994
117.433578	1.729510
118.266861	1.729021
119.100151	1.728530
119.933441	1.728035
120.766731	1.727539
121.600021	1.727041
122.433319	1.726542
123.266609	1.726043
124.099907	1.725544
124.933197	1.725046
125.766495	1.724549
126.599792	1.724053
127.433090	1.723560
128.266388	1.723069
129.099701	1.722582
129.932999	1.722097
130.766296	1.721617
131.599594	1.721141
132.432907	1.720670
133.266205	1.720203
134.099518	1.719742
134.932816	1.719287
135.766129	1.718838
136.599442	1.718395
137.432739	1.717959
138.266052	1.717530
139.099365	1.717108
139.932678	1.716693
140.765991	1.716286
141.599289	1.715887
142.432602	1.715496
143.265915	1.715114
144.099228	1.714739
144.932541	1.714374
145.765869	1.714017
146.599182	1.713670
147.432495	1.713331
148.265808	1.713002
149.099121	1.712682
149.932434	1.712371
150.765762	1.712070
151.599075	1.711778
152.432388	1.711496
153.265717	1.711224
154.099030	1.710961
154.932343	1.710709
155.765671	1.710466
156.598984	1.710232
157.432312	1.710008
158.265625	1.709794
159.098953	1.709590
159.932266	1.709395
160.765594	1.709210
161.598923	1.709034
162.432236	1.708868
163.265564	1.708711
164.098877	1.708563
164.932205	1.708424
165.765533	1.708295
166.598846	1.708174
167.432175	1.708062
168.265503	1.707959
169.098831	1.707864
169.932144	1.707778
170.765472	1.707700
171.598801	1.707631
172.432129	1.707569
173.265457	1.707515
174.098785	1.707469
174.932098	1.707430
175.765427	1.707399
176.598755	1.707374
177.432083	1.707357
178.265411	1.707347
179.098740	1.707343
179.932068	1.707346
180.765396	1.707355
181.598724	1.707371
182.432053	1.707392
183.265381	1.707419
184.098709	1.707452
184.932037	1.707490
185.765366	1.707534
186.598694	1.707583
187.432022	1.707636
188.265350	1.707695
189.098679	1.707758
189.932007	1.707826
190.765335	1.707898
191.598663	1.707974
192.431992	1.708054
193.265320	1.708138
194.098648	1.708226
194.931976	1.708317
195.765305	1.708411
196.598633	1.708508
197.431976	1.708608
198.265305	1.708711
199.098633	1.708817
199.931961	1.708925
200.765289	1.709035
201.598618	1.709147
202.431946	1.709261
203.265289	1.709377
204.098618	1.709495
204.931946	1.709614
205.765274	1.709734
206.598602	1.709855
207.431931	1.709977
208.265274	1.710100
209.098602	1.710223
209.931931	1.710347
210.765259	1.710470
211.598587	1.710594
212.431931	1.710718
213.265259	1.710841
214.098587	1.710964
214.931915	1.711086
